"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2946","Verify text of all nav links","chromium","Tue Jan 28 17:16:29 GMT 2025","passed","Tue Jan 28 17:16:32 GMT 2025","Home","home.spec.ts","",""
"","2899","Verify search icon is visible using XPath selector","chromium","Tue Jan 28 17:16:27 GMT 2025","passed","Tue Jan 28 17:16:30 GMT 2025","Home","home.spec.ts","",""
"","4223","Should upload test file on a hidden input field","chromium","Tue Jan 28 17:16:30 GMT 2025","passed","Tue Jan 28 17:16:35 GMT 2025","Upload File","upload.spec.ts","",""
"","2942","Verify heading text is visible","chromium","Tue Jan 28 17:16:27 GMT 2025","passed","Tue Jan 28 17:16:30 GMT 2025","Home","home.spec.ts","",""
"","2798","Open HomePage and verify title","chromium","Tue Jan 28 17:16:27 GMT 2025","passed","Tue Jan 28 17:16:30 GMT 2025","Home","home.spec.ts","",""
"","2852","Click get started button using CSS Selector","chromium","Tue Jan 28 17:16:27 GMT 2025","passed","Tue Jan 28 17:16:30 GMT 2025","Home","home.spec.ts","",""
"","2755","Verify text of nav links using print","chromium","Tue Jan 28 17:16:30 GMT 2025","passed","Tue Jan 28 17:16:33 GMT 2025","Home","home.spec.ts","",""
"","2968","Verify text of blog nav link","chromium","Tue Jan 28 17:16:30 GMT 2025","passed","Tue Jan 28 17:16:33 GMT 2025","Home","home.spec.ts","",""
"","3573","Access Downloads","chromium","Tue Jan 28 17:16:24 GMT 2025","passed","Tue Jan 28 17:16:27 GMT 2025","My Account","account.spec.ts","",""
"","3138","Get number of recent blog posts and check min character title","chromium","Tue Jan 28 17:16:24 GMT 2025","passed","Tue Jan 28 17:16:27 GMT 2025","Blog Page","blog.spec.ts","",""
"","5555","Fill contact form and verify success message upon submission","chromium","Tue Jan 28 17:16:24 GMT 2025","passed","Tue Jan 28 17:16:29 GMT 2025","Contact Us Page","contact.spec.ts","",""
"","0","Open About page and verify title","chromium","Tue Jan 28 17:16:27 GMT 2025","skipped","Tue Jan 28 17:16:27 GMT 2025","Home","home.spec.ts","",""
"","1101","has title","chromium","Tue Jan 28 17:16:25 GMT 2025","passed","Tue Jan 28 17:16:26 GMT 2025","","example.spec.ts","",""
"","3585","Access Orders","chromium","Tue Jan 28 17:16:24 GMT 2025","passed","Tue Jan 28 17:16:27 GMT 2025","My Account","account.spec.ts","",""
"","4474","Should upload a elephant_2.png file","chromium","Tue Jan 28 17:16:30 GMT 2025","passed","Tue Jan 28 17:16:35 GMT 2025","Upload File","upload.spec.ts","",""
"","3096","Verify login and register is visible","chromium","Tue Jan 28 17:16:24 GMT 2025","passed","Tue Jan 28 17:16:27 GMT 2025","Account Page","account.spec.ts","",""
"","1206","","chromium","Tue Jan 28 17:16:24 GMT 2025","passed","Tue Jan 28 17:16:25 GMT 2025","My Account","assignment.spec.ts","",""
"","0","Should upload test file","chromium","Tue Jan 28 17:16:30 GMT 2025","skipped","Tue Jan 28 17:16:30 GMT 2025","Upload File","upload.spec.ts","",""
"","4440","Should upload a random_img.jpg file","chromium","Tue Jan 28 17:16:30 GMT 2025","passed","Tue Jan 28 17:16:35 GMT 2025","Upload File","upload.spec.ts","",""
"","803","get started link","chromium","Tue Jan 28 17:16:26 GMT 2025","passed","Tue Jan 28 17:16:27 GMT 2025","","example.spec.ts","",""
"","2541","Verify home link is enabled","chromium","Tue Jan 28 17:16:27 GMT 2025","passed","Tue Jan 28 17:16:30 GMT 2025","Home","home.spec.ts","",""
